,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,so2
204,JAKARTA SELATAN,1,2021,106.8083333333333,-6.283333333333336,41.806706950629774,2021-01-01,86.41425069173185,26.09524129231769,11.105528101324891,9309,83.28718270838553
205,JAKARTA SELATAN,2,2021,106.8083333333333,-6.283333333333336,39.51856382380618,2021-02-01,87.12861124674471,26.21106669108075,13.23107307155891,8206,70.42346398485567
206,JAKARTA SELATAN,3,2021,106.8083333333333,-6.283333333333336,49.68305248937467,2021-03-01,83.14095560709632,26.862460327148444,8.64465379466594,10599,106.88166776784456
207,JAKARTA SELATAN,4,2021,106.8083333333333,-6.283333333333336,64.11036947737466,2021-04-01,81.7409973144531,27.094876098632813,5.532641631240549,10776,127.27402749446276
208,JAKARTA SELATAN,5,2021,106.8083333333333,-6.283333333333336,69.3018236278919,2021-05-01,81.49474080403635,27.68681437174481,4.05682766189187,10150,137.20469396810267
209,JAKARTA SELATAN,6,2021,106.8083333333333,-6.283333333333336,64.02475029649415,2021-06-01,84.13217671712246,26.75935668945312,4.931611567735623,13009,126.23731160226832
210,JAKARTA SELATAN,7,2021,106.8083333333333,-6.283333333333336,67.68742166269483,2021-07-01,78.07397969563804,26.928263346354168,1.5440684432784393,13002,136.65224970902318
211,JAKARTA SELATAN,8,2021,106.8083333333333,-6.283333333333336,67.48722358235925,2021-08-01,79.3603973388674,26.99606119791665,5.851865683992853,7804,120.00255632421266
212,JAKARTA SELATAN,9,2021,106.8083333333333,-6.283333333333336,60.489308063078816,2021-09-01,79.73533630371112,27.28643697102862,5.79701301952219,9214,111.17213341814733
213,JAKARTA SELATAN,10,2021,106.8083333333333,-6.283333333333336,63.0986094170749,2021-10-01,80.20740763346353,27.43743794759113,4.822107125073551,8773,109.724059970637
214,JAKARTA SELATAN,11,2021,106.8083333333333,-6.283333333333336,43.85942539893593,2021-11-01,82.29898071289061,26.98508504231769,9.453503166635477,21075,92.02743319796592
